filename,start_time,end_time,confidence,scientific_name,primary_label
butsal1/XC259767.ogg,0.0,3.0,1,,566513
butsal1/XC259767.ogg,3.0,6.0,1,,566513
butsal1/XC259767.ogg,9.0,12.0,1,,566513
butsal1/XC259767.ogg,12.0,15.0,1,,566513
butsal1/XC259767.ogg,15.0,18.0,1,,566513
butsal1/XC259767.ogg,18.0,21.0,1,,566513
butsal1/XC259767.ogg,21.0,24.0,1,,566513
butsal1/XC259767.ogg,24.0,27.0,1,,566513
butsal1/XC259767.ogg,27.0,30.0,1,,566513
butsal1/XC259767.ogg,30.0,33.0,1,,566513
bkcdon/XC259283.ogg,3.0,6.0,1,,566513
bkcdon/XC259283.ogg,6.0,9.0,1,,566513
126247/XC941297.ogg,0.0,5.0,1,,65448
126247/XC941297.ogg,0.0,5.0,1,,22976
126247/XC941297.ogg,0.0,5.0,1,,476538
126247/XC941297.ogg,1.0,6.0,1,,65448
126247/XC941297.ogg,1.0,6.0,1,,22976
126247/XC941297.ogg,1.0,6.0,1,,476538
126247/XC941297.ogg,2.0,7.0,1,,65448
126247/XC941297.ogg,2.0,7.0,1,,22976
126247/XC941297.ogg,2.0,7.0,1,,476538
126247/XC941297.ogg,3.0,8.0,1,,65448
126247/XC941297.ogg,3.0,8.0,1,,22976
126247/XC941297.ogg,3.0,8.0,1,,476538
126247/XC941297.ogg,4.0,9.0,1,,65448
126247/XC941297.ogg,4.0,9.0,1,,22976
126247/XC941297.ogg,4.0,9.0,1,,476538
126247/XC941297.ogg,5.0,10.0,1,,65448
126247/XC941297.ogg,5.0,10.0,1,,22976
126247/XC941297.ogg,5.0,10.0,1,,476538
126247/XC941297.ogg,6.0,11.0,1,,65448
126247/XC941297.ogg,6.0,11.0,1,,22976
126247/XC941297.ogg,6.0,11.0,1,,476538
126247/XC941297.ogg,7.0,12.0,1,,65448
126247/XC941297.ogg,7.0,12.0,1,,22976
126247/XC941297.ogg,7.0,12.0,1,,476538
126247/XC941297.ogg,8.0,13.0,1,,65448
126247/XC941297.ogg,8.0,13.0,1,,22976
126247/XC941297.ogg,8.0,13.0,1,,476538
126247/XC941297.ogg,9.0,14.0,1,,65448
126247/XC941297.ogg,9.0,14.0,1,,22976
126247/XC941297.ogg,9.0,14.0,1,,476538
126247/XC941297.ogg,10.0,15.0,1,,65448
126247/XC941297.ogg,10.0,15.0,1,,22976
126247/XC941297.ogg,10.0,15.0,1,,476538
126247/XC941297.ogg,11.0,16.0,1,,65448
126247/XC941297.ogg,11.0,16.0,1,,22976
126247/XC941297.ogg,11.0,16.0,1,,476538
476538/XC926710.ogg,0.0,5.0,1,,65448
476538/XC926710.ogg,1.0,6.0,1,,65448
476538/XC926710.ogg,2.0,7.0,1,,65448
476538/XC926710.ogg,3.0,8.0,1,,65448
476538/XC926710.ogg,4.0,9.0,1,,65448
476538/XC926710.ogg,5.0,10.0,1,,65448
476538/XC926710.ogg,6.0,11.0,1,,65448
476538/XC926710.ogg,7.0,12.0,1,,65448
476538/XC926710.ogg,8.0,13.0,1,,65448
476538/XC926710.ogg,9.0,14.0,1,,65448
476538/XC926710.ogg,10.0,15.0,1,,65448
476538/XC926710.ogg,11.0,16.0,1,,65448
476538/XC926710.ogg,12.0,17.0,1,,65448
476538/XC926710.ogg,13.0,18.0,1,,65448
476538/XC926710.ogg,14.0,19.0,1,,65448
476538/XC926710.ogg,15.0,20.0,1,,65448
476538/XC926710.ogg,16.0,21.0,1,,65448
476538/XC926710.ogg,17.0,22.0,1,,65448
476538/XC926710.ogg,18.0,23.0,1,,65448
476538/XC926710.ogg,19.0,24.0,1,,65448
476538/XC926710.ogg,20.0,25.0,1,,65448
476538/XC926710.ogg,21.0,26.0,1,,65448
476538/XC926710.ogg,22.0,27.0,1,,65448
476538/XC926710.ogg,23.0,28.0,1,,65448
476538/XC926710.ogg,24.0,29.0,1,,65448
476538/XC926710.ogg,25.0,30.0,1,,65448
476538/XC926710.ogg,26.0,31.0,1,,65448
476538/XC926710.ogg,27.0,32.0,1,,65448
476538/XC926710.ogg,28.0,33.0,1,,65448
476538/XC926710.ogg,29.0,34.0,1,,65448
476538/XC926710.ogg,30.0,35.0,1,,65448
476538/XC926710.ogg,31.0,36.0,1,,65448
476538/XC926710.ogg,32.0,37.0,1,,65448
476538/XC926710.ogg,33.0,38.0,1,,65448
65349/XC941283.ogg,0.0,5.0,1,,65547
65349/XC941283.ogg,1.0,6.0,1,,65547
65349/XC941283.ogg,2.0,7.0,1,,65547
65349/XC941283.ogg,3.0,8.0,1,,65547
65349/XC941283.ogg,4.0,9.0,1,,65547
65349/XC941283.ogg,5.0,10.0,1,,65547
65349/XC941283.ogg,6.0,11.0,1,,65547
65349/XC941283.ogg,7.0,12.0,1,,65547
65349/XC941283.ogg,8.0,13.0,1,,65547
65349/XC941283.ogg,9.0,14.0,1,,65547
65349/XC941283.ogg,10.0,15.0,1,,65547
65349/XC941283.ogg,11.0,16.0,1,,65547
65349/XC941283.ogg,12.0,17.0,1,,65547
65448/XC941294.ogg,0.0,5.0,1,,22976
65448/XC941294.ogg,1.0,6.0,1,,22976
65448/XC941294.ogg,2.0,7.0,1,,22976
65448/XC941294.ogg,3.0,8.0,1,,22976
65448/XC941294.ogg,4.0,9.0,1,,22976
